PLAYER,PTS,TREB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
"Norman Powell (POR - SG,SF) ","1,253",249,125,23,73,0.472,0.859,168,77,"2,316",115
"Derrick White (SAS - PG,SG) ","1,249",260,309,69,67,0.439,0.842,160,73,"2,240",124
"Jaren Jackson Jr. (MEM - PF,C) DTD ","1,247",451,92,113,69,0.474,0.791,154,72,"2,137",124
"Pascal Siakam (TOR - PF,C) OUT ","1,237",466,230,45,67,0.45,0.82,84,62,"2,172",131
"Dillon Brooks (MEM - SG,SF) ","1,230",240,163,27,80,0.419,0.795,147,76,"2,244",131
"Gordon Hayward (CHA - SG,SF) ","1,201",371,274,22,77,0.479,0.841,123,71,"2,308",144
"Keldon Johnson (SAS - SF,PF) ","1,200",439,156,29,56,0.485,0.745,86,76,"2,298",97
Deandre Ayton (PHO - C) ,"1,199",819,120,93,45,0.615,0.759,7,77,"2,423",120
"Dejounte Murray (SAS - PG,SG) DTD ","1,188",522,447,11,120,0.46,0.789,66,75,"2,388",141
"Malik Beasley (MIN - PG,SG,SF) ","1,187",276,131,17,56,0.431,0.822,239,74,"2,180",105
"Evan Fournier (NYK - SG,SF) ","1,183",244,218,30,80,0.461,0.804,179,73,"2,375",138
Chris Paul (PHO - PG) ,"1,179",330,612,19,100,0.49,0.927,109,76,"2,303",160
Saddiq Bey (DET - SF) ,"1,162",374,123,18,66,0.421,0.838,226,78,"2,525",85
"Kevin Porter Jr. (HOU - SG,SF,PG) ","1,156",277,402,27,81,0.444,0.746,130,74,"2,282",220
Kyle Lowry (MIA - PG) ,"1,141",351,479,22,84,0.439,0.838,181,73,"2,485",191
"Bogdan Bogdanovic (ATL - SF,PF,SG) ","1,141",276,232,19,77,0.463,0.86,218,74,"2,273",96
"Harrison Barnes (SAC - SF,PF) ","1,121",400,224,15,49,0.476,0.824,117,75,"2,625",108
Jonas Valanciunas (NOR - C) ,"1,120",805,129,67,38,0.579,0.774,25,75,"2,119",131
Clint Capela (ATL - C) ,"1,118",942,70,143,49,0.603,0.584,0,77,"2,391",92
Mike Conley (UTH - PG) ,"1,113",279,380,15,79,0.438,0.854,181,70,"2,079",120
"Reggie Jackson (LAC - PG,SG) ","1,108",238,324,9,60,0.443,0.849,185,76,"2,154",122
"Jalen Suggs (ORL - PG,SG) ","1,105",257,416,20,114,0.436,0.761,104,76,"2,380",243
"OG Anunoby (TOR - SF,PF) ","1,101",390,142,43,102,0.47,0.757,165,72,"2,341",109
Rudy Gobert (UTH - C) ,"1,096",953,94,189,47,0.675,0.625,0,78,"2,445",124
"Terrence Ross (ORL - SG,SF) ","1,082",261,140,29,82,0.407,0.853,153,73,"2,109",113
"Kyle Kuzma (WAS - SF,PF) ","1,075",404,136,39,50,0.444,0.732,138,75,"2,134",122
"Tyrese Haliburton (SAC - PG,SG) ","1,070",235,419,35,100,0.462,0.86,166,74,"2,376",126
"Tyler Herro (MIA - PG,SG) ","1,060",340,217,20,46,0.436,0.821,139,74,"2,149",131
"Joe Harris (BKN - SG,SF) ","1,058",282,152,17,49,0.512,0.765,225,78,"2,445",85
"Richaun Holmes (SAC - PF,C) ","1,047",605,119,121,46,0.641,0.781,0,75,"2,201",85
"Lonzo Ball (CHI - PG,SG) ","1,033",376,451,46,106,0.414,0.705,213,75,"2,458",175
"Doug McDermott (SAS - SF,PF) ","1,024",239,105,7,22,0.505,0.809,140,77,"1,986",63
"Marcus Morris Sr. (LAC - PF,C,SF) ","1,023",306,84,22,46,0.458,0.819,184,74,"2,099",76
"De'Andre Hunter (ATL - SF,PF) ","1,021",334,125,29,53,0.458,0.823,116,73,"2,278",94
