RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
94,Malik MonkLAL,SG,76,28.1,13.8,5.1,10.9,47.3,2.3,5.8,39.1,1.2,1.5,79.5,3.4,2.9,0.8,0.4,1.6,1,0,14.49
95,Harrison BarnesSAC,SF,77,33.6,16.4,5.1,10.8,46.9,1.8,4.7,39.4,4.4,5.4,82.6,5.6,2.4,0.7,0.2,1.5,5,0,15.75
96,Kentavious Caldwell-PopeWSH,SG,77,30.2,13.2,4.7,10.8,43.5,2.1,5.3,39,1.8,2,89,3.4,1.9,1.1,0.3,1.3,2,0,12.6
97,Devin VassellSA,SG,71,27.3,12.3,4.6,10.8,42.7,1.9,5.4,36.1,1.2,1.4,83.8,4.3,1.9,1.1,0.6,0.8,1,0,13.39
98,Malik BeasleyMIN,SG,79,25,12.1,4.2,10.8,39.1,3,8.1,37.7,0.6,0.8,81.7,2.9,1.5,0.5,0.2,0.5,0,0,11.91
99,Devonte' GrahamNO,PG,76,28.4,11.9,3.9,10.7,36.3,2.5,7.4,34.1,1.6,1.8,84.3,2.3,4.2,0.9,0.2,1.4,0,0,12.1
100,Derrick WhiteSA/BOS,PG,75,29.3,13.2,4.5,10.7,42.1,1.5,4.9,31.2,2.7,3.1,86.4,3.5,4.9,0.9,0.8,1.6,2,0,14.89
101,Coby WhiteCHI,PG,61,27.5,12.7,4.6,10.6,43.3,2.2,5.8,38.5,1.3,1.5,85.7,3,2.9,0.5,0.2,1.1,1,0,12.6
102,Carmelo AnthonyLAL,PF,69,26,13.3,4.6,10.5,44.1,2.2,5.8,37.5,1.9,2.3,83,4.2,1,0.7,0.8,0.9,1,0,14.8
103,Mikal BridgesPHX,SF,82,34.8,14.2,5.6,10.5,53.4,1.4,3.8,36.9,1.6,1.9,83.4,4.2,2.3,1.2,0.4,0.8,0,0,14.49
104,Nickeil Alexander-WalkerNO/UTAH,SG,65,22.6,10.6,3.9,10.5,37.2,1.6,5.2,31.1,1.2,1.7,74.3,2.9,2.4,0.7,0.4,1.4,2,0,10.57
105,Monte MorrisDEN,PG,75,29.9,12.6,5,10.3,48.4,1.7,4.2,39.5,1,1.1,86.9,3,4.4,0.7,0.2,1,0,0,14.75
106,Kevin LoveCLE,PF,74,22.5,13.6,4.4,10.3,43,2.5,6.4,39.2,2.2,2.7,83.8,7.2,2.2,0.4,0.2,1.3,15,0,19.67
107,Kevin HuerterATL,SG,74,29.6,12.1,4.7,10.3,45.4,2.2,5.6,38.9,0.6,0.7,80.8,3.4,2.7,0.7,0.4,1.2,1,0,11.91
108,Cameron PaynePHX,PG,58,22,10.8,4.1,10.1,40.9,1.2,3.6,33.6,1.3,1.5,84.3,3,4.9,0.7,0.3,1.8,3,0,13.87
109,Marcus SmartBOS,PG,71,32.3,12.1,4.2,10.1,41.8,1.7,5.1,33.1,2,2.5,79.3,3.8,5.9,1.7,0.3,2.2,2,0,13.67
110,Kyle LowryMIA,PG,63,33.9,13.4,4.4,10,44,2.3,6.1,37.7,2.3,2.8,85.1,4.5,7.5,1.1,0.3,2.7,16,2,15.02
111,Eric GordonHOU,SG,57,29.3,13.4,4.7,9.9,47.5,2.2,5.3,41.2,1.8,2.4,77.8,2,2.7,0.5,0.3,1.9,0,0,12.17
112,Patty MillsBKN,PG,81,29,11.4,4,9.8,40.8,2.8,7,40,0.6,0.7,81.4,1.9,2.3,0.6,0.2,0.9,0,0,10.43
113,Tre MannOKC,PG,60,22.8,10.4,3.9,9.8,39.3,1.6,4.5,36,1.1,1.4,79.3,2.9,1.5,0.8,0.2,1.2,0,0,10.29
114,Jakob PoeltlSA,C,68,29,13.5,6,9.8,61.8,0,0,100,1.4,2.8,49.5,9.3,2.8,0.7,1.7,1.6,28,0,20.85
115,De'Anthony MeltonMEM,SG,73,22.7,10.8,3.8,9.5,40.4,1.9,5.1,37.4,1.2,1.6,75,4.5,2.7,1.4,0.5,1.5,2,0,15.23
