RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
211,Isaiah HartensteinLAC,C,68,17.9,8.3,3.4,5.4,62.6,0.2,0.4,46.7,1.3,1.9,68.9,4.9,2.4,0.7,1.1,1.2,2,0,22.06
212,Aaron HolidayWSH/PHX,G,63,16.2,6.3,2.4,5.4,44.7,0.6,1.6,37.9,0.9,1.1,86.8,1.9,2.4,0.7,0.1,1.1,0,0,12.59
213,CJ EllebyPOR,SG,58,20.2,5.8,2.1,5.3,39.3,0.6,2.2,29.4,1,1.4,71.4,3.9,1.5,0.6,0.3,1,0,0,9.26
214,Payton PritchardBOS,PG,71,14.1,6.2,2.3,5.3,42.9,1.4,3.5,41.2,0.3,0.3,100,1.9,2,0.3,0.1,0.6,0,0,14.95
215,Drew EubanksPOR/SA,PF,71,17.5,7.7,3.1,5.2,59.6,0.1,0.3,21.7,1.4,1.8,76.2,5.4,1.2,0.4,0.6,1.1,7,0,18.06
216,Austin RiversDEN,SG,67,22.1,6,2.2,5.2,41.7,1.2,3.4,34.2,0.5,0.7,72.7,1.7,1.3,0.8,0.1,0.8,0,0,7.24
217,Austin ReavesLAL,SG,61,23.2,7.3,2.4,5.2,45.9,0.9,2.7,31.7,1.6,1.9,83.9,3.2,1.8,0.5,0.3,0.7,1,1,11.57
218,Danny GreenPHI,SF,62,21.8,5.9,2,5.2,39.4,1.7,4.4,38,0.2,0.2,78.6,2.5,1,1,0.6,0.7,0,0,9.53
219,Hassan WhitesideUTAH,C,65,17.9,8.2,3.3,5.1,65.2,0,0,0,1.6,2.6,62.3,7.6,0.4,0.3,1.6,0.8,14,0,22.96
220,Lamar StevensCLE,F,63,16.1,6.1,2.5,5.1,48.9,0.3,1,27.7,0.8,1.2,70.7,2.6,0.7,0.5,0.3,0.7,0,0,11.33
221,Steven AdamsMEM,C,76,26.3,6.9,2.8,5.1,54.7,0,0,0,1.4,2.6,54.3,10,3.4,0.9,0.8,1.5,14,0,17.6
222,Garrett TempleNO,SF,59,18.6,5.2,1.9,5,37.6,1,3.1,31.9,0.5,0.7,68.3,2.4,1.3,0.7,0.4,0.7,0,0,8.67
222,Javonte GreenCHI,SF,65,23.4,7.2,2.7,5,54.2,0.6,1.6,35.6,1.2,1.5,83.3,4.2,0.9,1,0.5,0.5,0,0,14.05
224,James JohnsonBKN,PF,62,19.2,5.5,2.3,5,46.9,0.4,1.4,27.1,0.5,0.9,52.7,3.5,2.1,0.5,0.5,0.8,1,0,10.29
225,Tre JonesSA,PG,69,16.6,6,2.4,4.9,49,0.1,0.7,19.6,1,1.3,78,2.2,3.4,0.6,0.1,0.7,3,0,15.01
226,Dwight PowellDAL,C,82,21.9,8.7,3.3,4.9,67.1,0.2,0.5,35.1,2,2.6,78.3,4.9,1.2,0.5,0.5,0.8,2,0,18.1
227,JaMychal GreenDEN,F,67,16.2,6.4,2.4,4.9,48.6,0.5,1.9,26.6,1.2,1.4,87.1,4.2,0.9,0.6,0.4,0.9,1,0,14.18
228,Jarred VanderbiltMIN,PF,74,25.4,6.9,2.9,4.9,58.7,0,0.2,14.3,1.2,1.8,65.6,8.4,1.3,1.3,0.6,1,8,0,15.35
229,Gary Payton IIGS,SG,71,17.6,7.1,3,4.8,61.6,0.6,1.7,35.8,0.5,0.8,60.3,3.5,0.9,1.4,0.3,0.6,1,0,17.86
230,Nemanja BjelicaGS,PF,71,16.1,6.1,2.3,4.8,46.8,0.8,2.1,36.2,0.8,1.1,72.8,4.1,2.2,0.6,0.4,1.2,3,0,14.2
231,Mitchell RobinsonNY,C,72,25.7,8.5,3.6,4.8,76.1,0,0,0,1.2,2.5,48.6,8.6,0.5,0.8,1.8,0.8,20,0,20.78
232,Facundo CampazzoDEN,PG,65,18.2,5.1,1.6,4.6,36.1,0.9,3,30.1,0.9,1.2,76.9,1.8,3.4,1,0.4,1,2,0,11.16
233,Matisse ThybullePHI,SG,66,25.5,5.7,2.3,4.5,50,0.7,2.2,31.3,0.5,0.7,79.1,2.3,1.1,1.7,1.1,0.6,0,0,11.22
234,Trey Murphy IIINO,SG,62,13.9,5.4,1.8,4.5,39.3,1.1,3,38.2,0.7,0.8,88.2,2.4,0.6,0.4,0.1,0.3,0,0,12.53
235,Keita Bates-DiopSA,SF,59,16.2,5.7,2.3,4.5,51.7,0.3,0.9,30.9,0.8,1,75.4,3.9,0.7,0.5,0.2,0.8,1,0,12.44
236,Kevon LooneyGS,C,82,21.1,6,2.5,4.4,57.1,0,0,0,0.9,1.5,60,7.3,2,0.6,0.6,0.8,5,0,15.78
237,Mason PlumleeCHA,C,73,24.6,6.5,2.8,4.4,64.1,0,0,0,0.9,2.3,39.2,7.7,3.1,0.8,0.7,1.4,7,0,14.72
238,Dewayne DedmonMIA,C,67,15.9,6.3,2.4,4.3,56.6,0.3,0.7,40.4,1.1,1.5,75,5.8,0.7,0.4,0.6,1,3,0,15.9
239,Eric PaschallUTAH,F,58,12.7,5.8,2,4.1,48.5,0.7,1.9,37,1.1,1.5,76.7,1.8,0.6,0.2,0.1,0.5,0,0,13.9
240,Troy Brown Jr.CHI,SF,66,16,4.3,1.6,3.9,41.9,0.7,2,35.3,0.3,0.4,76.9,3.1,1,0.5,0.1,0.4,1,0,10.16
241,Frank NtilikinaDAL,PG,58,11.8,4.1,1.5,3.8,39.9,0.7,1.9,34.2,0.4,0.4,96,1.4,1.2,0.5,0.1,0.5,0,0,10.41
242,Jevon CarterMIL/BKN,PG,66,13.7,4.2,1.5,3.8,38.7,1,2.6,38.8,0.2,0.3,83.3,1.7,1.5,0.4,0.2,0.5,0,0,9.62
243,Josh GreenDAL,SG,67,15.5,4.8,1.9,3.8,50.8,0.4,1.2,35.9,0.5,0.7,68.9,2.4,1.2,0.7,0.2,0.7,1,0,11.95
244,Dwight HowardLAL,C,60,16.2,6.2,2.2,3.7,61.2,0.1,0.3,53.3,1.6,2.4,65.8,5.9,0.6,0.6,0.6,0.8,5,0,18.25
245,John KoncharMEM,SG,72,17.9,4.8,1.9,3.6,51.5,0.7,1.8,41.3,0.4,0.7,55.1,4.6,1.5,0.6,0.3,0.4,3,1,13.98
246,Delon WrightATL,SG,77,18.9,4.4,1.6,3.5,45.4,0.6,1.5,37.9,0.7,0.8,85.7,2.9,2.4,1.2,0.2,0.6,0,0,13.81
247,Jordan McLaughlinMIN,PG,62,14.5,3.8,1.4,3.2,44,0.4,1.4,31.8,0.5,0.6,75,1.5,2.9,0.9,0.2,0.6,1,0,13.47
248,Juan Toscano-AndersonGS,SF,73,13.6,4.1,1.6,3.2,48.9,0.4,1.2,32.2,0.5,1,57.1,2.4,1.7,0.7,0.2,0.9,0,0,11.04
249,Dalano BantonTOR,PG,64,10.9,3.2,1.3,3.2,41.1,0.2,0.8,25.5,0.4,0.7,59.1,1.9,1.5,0.4,0.2,0.8,0,0,10.06
250,Trent ForrestUTAH,G,60,12.8,3.3,1.3,2.6,49,0.1,0.5,18.5,0.6,0.8,79.2,1.7,1.8,0.5,0.1,0.8,0,0,10.89
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
