PLAYER,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
"Justise Winslow (POR - PF,PG,SF) DTD ",447,328,128,39,52,0.4070,0.5910,25,63,1324,86
"Danuel House Jr. (PHI - SF,PF,SG) ",445,207,80,25,38,0.4150,0.7520,85,68,1282,50
Jeremy Sochan (SAS - PF) ,445,201,106,31,58,0.4450,0.6290,44,71,1353,55
"Aaron Holiday (ATL - PG,SG) ",441,133,156,12,49,0.4280,0.8580,53,70,1080,74
"Cedi Osman (CLE - SF,PF) ",429,117,90,6,34,0.4230,0.6700,81,58,985,49
"Davis Bertans (DAL - PF,C) DTD ",427,136,40,15,21,0.3920,0.9000,106,61,1014,24
"Jonathan Isaac (ORL - SF,PF) OUT ",415,201,50,71,51,0.4640,0.7520,34,47,1033,49
"Shake Milton (PHI - PG,SG) DTD ",414,132,115,11,24,0.4230,0.8360,51,52,958,53
"Furkan Korkmaz (PHI - SG,SF) DTD ",406,140,83,9,28,0.3920,0.7950,72,58,1042,38
"Kevon Looney (GSW - PF,C) ",406,577,138,47,48,0.5640,0.6120,0,78,1591,71
Shaedon Sharpe (POR - SG) ,403,150,75,20,37,0.4390,0.7380,39,62,1054,51
"John Konchar (MEM - SG,PG) ",400,349,110,26,59,0.4920,0.5860,63,73,1416,64
"JaMychal Green (GSW - PF,C) ",398,337,70,27,43,0.4560,0.8340,41,69,1178,66
Ricky Rubio (CLE - PG) ,392,107,228,6,52,0.3730,0.8470,50,43,955,79
"Serge Ibaka (MIL - PF,C) ",387,273,48,35,14,0.4940,0.7400,31,53,910,47
"Torrey Craig (PHO - SG,SF) DTD ",380,303,73,30,41,0.4480,0.7640,63,65,1174,50
"Matisse Thybulle (PHI - SG,SF) DTD ",369,181,83,70,108,0.4740,0.7180,46,71,1619,46
"George Hill (MIL - PG,SG) DTD ",368,190,132,7,47,0.4390,0.8980,55,59,1227,49
"Austin Rivers (MIN - PG,SG) ",368,146,106,9,44,0.4040,0.6770,78,71,1289,49
"Mike Muscala (OKC - PF,C) ",366,178,34,30,22,0.4480,0.8170,72,56,707,23
"Aaron Nesmith (IND - SG,SF) ",361,162,46,11,31,0.4170,0.8010,67,62,990,49
Nikola Jovic (MIA - SF) ,353,143,57,17,22,0.4260,0.7640,55,57,865,36
"Juan Toscano-Anderson (LAL - SF,PF) ",353,190,151,18,57,0.4950,0.5850,47,71,1186,80
"Damion Lee (PHO - SG,SF) ",352,184,56,5,29,0.4340,0.8850,57,51,961,30
"Joe Ingles (MIL - SG,SF,PF) IR ",349,131,148,3,21,0.4350,0.7990,78,42,1011,47
"Cam Reddish (NYK - SG,SF) ",348,117,41,14,34,0.3800,0.8840,51,54,808,44
Cory Joseph (DET - PG) DTD ,341,114,132,10,28,0.4380,0.8750,36,59,930,59
Ish Smith (DEN - PG) ,339,117,192,16,38,0.4180,0.6260,24,61,975,59
"Daniel Theis (IND - PF,C) ",336,244,46,31,19,0.5280,0.6970,21,51,781,41
Dyson Daniels (NOR - G) ,331,148,113,23,47,0.4420,0.7700,41,63,983,58
"Frank Kaminsky III (ATL - C,PF) ",321,195,61,16,19,0.4700,0.7380,26,49,708,27
"Raul Neto (CLE - PG,SG) ",318,209,119,4,40,0.4770,0.7850,30,51,798,45
Johnny Davis (WAS - SG) ,313,106,44,10,30,0.4330,0.7690,20,49,757,51
"Derrick Favors (OKC - C,PF) ",313,255,38,31,25,0.5290,0.7020,8,54,885,26
"Maurice Harkless (ATL - SF,PF) ",309,168,47,34,47,0.4570,0.7010,39,67,1233,40
"R.J. Hampton Jr. (ORL - PG,SG) ",299,170,92,9,27,0.3810,0.6390,42,52,851,52
"David Nwaba (HOU - SG,SF) ",297,170,42,24,37,0.4660,0.6940,25,51,788,28
Malachi Flynn (TOR - PG) ,292,131,105,6,35,0.3950,0.7280,47,53,829,30
"Blake Griffin (FA - PF,C) FA ",291,163,68,12,18,0.4200,0.7360,42,46,738,30
Jordan McLaughlin (MIN - PG) ,286,125,198,9,60,0.4270,0.7490,36,63,1020,54
Usman Garuba (HOU - PF) ,283,316,71,46,43,0.4920,0.7210,20,69,1105,37
TyTy Washington Jr. (HOU - PG) ,280,102,113,9,30,0.4390,0.7210,38,58,798,45
"Danilo Gallinari (BOS - SF,PF) OUT ",274,183,34,4,9,0.4330,0.9050,40,55,1284,20
"Gorgui Dieng (SAS - PF,C) ",271,265,48,28,25,0.4710,0.7850,39,48,616,38
Saben Lee (DET - PG) ,268,102,152,13,42,0.3980,0.7350,25,59,804,54
"Khem Birch (TOR - PF,C) ",268,247,53,29,31,0.4930,0.7200,3,61,985,31
"Kira Lewis Jr. (NOR - PG,SG) OUT ",233,78,82,3,23,0.4160,0.8320,28,43,566,38
"Nerlens Noel (DET - PF,C) ",229,418,49,73,51,0.5760,0.7330,1,52,928,54
"Garrett Temple (NOR - PG,SG,SF) DTD ",228,149,58,16,27,0.3670,0.7090,44,48,734,31
"Eric Paschall (MIN - PF,C) ",225,166,34,4,7,0.4990,0.7570,22,40,453,24
"Edmond Sumner (BKN - PG,SG,SF) ",206,57,31,6,16,0.5150,0.7900,19,38,488,26
Dennis Smith Jr. (FA - PG) FA ,195,77,112,10,35,0.3930,0.6810,18,39,595,50
"Andre Iguodala (FA - SG,SF,PF) FA ",148,98,88,14,29,0.3820,0.6680,26,49,642,32
"Danny Green (MEM - SG,SF) OUT ",40,17,7,3,6,0.4030,0.7720,10,7,132,5
